# BabelNet 4.0.1 - SapienzaNLP - LICENSE: BabelNet License - https://babelnet.org
bn:00082116v	wn:00865776v
bn:00082285v	wn:02367363v
bn:00082286v	wn:00010435v
bn:00082287v	wn:01719302v
bn:00082288v	wn:01095899v
bn:00082289v	wn:00013615v
bn:00082290v	wn:02744977v
bn:00082291v	wn:02525447v
bn:00082292v	wn:02419073v
bn:00082293v	wn:01721556v
bn:00082294v	wn:01719921v
bn:00082295v	wn:02671613v
bn:00082296v	wn:00010241v
bn:00082297v	wn:02376429v
bn:00082298v	wn:02376631v
bn:00082299v	wn:01722645v
bn:00082300v	wn:01722447v
bn:00082301v	wn:02593551v
bn:00082302v	wn:02517655v
bn:00082303v	wn:02122522v
bn:00082304v	wn:02536557v
bn:00082305v	wn:02582042v
bn:00082306v	wn:01643657v
bn:00082307v	wn:00190682v
bn:00082308v	wn:00191385v
bn:00082309v	wn:00190999v
bn:00082310v	wn:00190886v
bn:00082311v	wn:01644746v
bn:00082312v	wn:00987870v
bn:00082313v	wn:01649999v
bn:00082314v	wn:00393227v
bn:00082315v	wn:01728840v
bn:00082316v	wn:00150287v
bn:00082317v	wn:00182406v
bn:00082318v	wn:01027174v
bn:00082319v	wn:02324478v
bn:00082320v	wn:00640828v
bn:00082321v	wn:00949288v
bn:00082322v	wn:02745172v
bn:00082323v	wn:00183757v
bn:00082324v	wn:01328705v
bn:00082325v	wn:00157347v
bn:00082326v	wn:02627363v
bn:00082327v	wn:02645007v
bn:00082328v	wn:02619612v
bn:00082329v	wn:01165290v
bn:00082330v	wn:00620532v
bn:00082331v	wn:00210647v
bn:00082332v	wn:00897564v
bn:00082333v	wn:00989201v
bn:00082334v	wn:00990812v
bn:00082335v	wn:01150981v
bn:00082336v	wn:01160899v
bn:00082337v	wn:02601456v
bn:00082338v	wn:02249018v
bn:00082339v	wn:01033527v
bn:00082340v	wn:00464687v
bn:00082341v	wn:01449236v
bn:00082342v	wn:02718178v
bn:00082343v	wn:00486557v
bn:00082344v	wn:01220885v
bn:00082345v	wn:02638845v
bn:00082346v	wn:02638630v
bn:00082347v	wn:01356750v
bn:00082348v	wn:01205696v
bn:00082349v	wn:00183383v
bn:00082350v	wn:00364297v
bn:00082351v	wn:02428487v
bn:00082352v	wn:00822367v
bn:00082353v	wn:02501278v
bn:00082354v	wn:00698855v
bn:00082355v	wn:00759657v
bn:00082356v	wn:00755331v
bn:00082357v	wn:00296178v
bn:00082358v	wn:00464321v
bn:00082359v	wn:00298067v
bn:00082360v	wn:00699334v
bn:00082361v	wn:02295082v
bn:00082362v	wn:02431971v
bn:00082363v	wn:02309621v
bn:00082364v	wn:02294436v
bn:00082365v	wn:00081072v
bn:00082366v	wn:02603567v
bn:00082367v	wn:01827858v
bn:00082368v	wn:02164694v
bn:00082369v	wn:02502536v
bn:00082370v	wn:02449847v
bn:00082371v	wn:02745486v
bn:00082372v	wn:02741682v
bn:00082373v	wn:02671279v
bn:00082374v	wn:00396703v
bn:00082375v	wn:00870577v
bn:00082376v	wn:00871195v
bn:00082377v	wn:00824066v
bn:00082378v	wn:00252710v
bn:00082379v	wn:02346895v
bn:00082380v	wn:02346724v
bn:00082381v	wn:02381726v
bn:00082382v	wn:00413195v
bn:00082383v	wn:01701311v
bn:00082384v	wn:00601822v
bn:00082385v	wn:01777817v
bn:00082386v	wn:01675963v
bn:00082387v	wn:02748927v
bn:00082388v	wn:02386675v
bn:00082389v	wn:01540232v
bn:00082390v	wn:00880518v
bn:00082391v	wn:00487748v
bn:00082392v	wn:01006421v
bn:00082393v	wn:00927711v
bn:00082394v	wn:01992503v
bn:00082395v	wn:00875806v
bn:00082396v	wn:00497061v
bn:00082397v	wn:02554922v
bn:00082398v	wn:01993926v
bn:00082399v	wn:01111028v
bn:00082400v	wn:00248659v
bn:00082401v	wn:00558371v
bn:00082402v	wn:02397637v
bn:00082403v	wn:02283949v
bn:00082404v	wn:01994288v
bn:00082405v	wn:00158222v
bn:00082406v	wn:02513268v
bn:00082407v	wn:02102655v
bn:00082408v	wn:02544348v
bn:00082409v	wn:02545272v
bn:00082410v	wn:02170427v
bn:00082411v	wn:01026728v
bn:00082412v	wn:01024190v
bn:00082413v	wn:00975902v
bn:00082414v	wn:00976653v
bn:00082415v	wn:00872886v
bn:00082416v	wn:00873682v
bn:00082417v	wn:00875394v
bn:00082418v	wn:00875141v
bn:00082419v	wn:00827730v
bn:00082420v	wn:02112891v
bn:00082421v	wn:00185465v
bn:00082422v	wn:00442267v
bn:00082423v	wn:01377940v
bn:00082424v	wn:01377758v
bn:00082425v	wn:00016183v
bn:00082426v	wn:00137313v
bn:00082427v	wn:00019448v
bn:00082428v	wn:02677097v
bn:00082429v	wn:00838043v
bn:00082430v	wn:01767949v
bn:00082431v	wn:00886602v
bn:00082432v	wn:02589245v
bn:00082433v	wn:02435311v
bn:00082434v	wn:00665886v
bn:00082435v	wn:01011031v
bn:00082436v	wn:01011725v
bn:00082437v	wn:01356370v
bn:00082438v	wn:01298283v
bn:00082439v	wn:01797730v
bn:00082440v	wn:00259927v
bn:00082441v	wn:01192628v
bn:00082442v	wn:02339171v
bn:00082443v	wn:02744451v
bn:00082444v	wn:02358034v
bn:00082445v	wn:01567888v
bn:00082446v	wn:02477135v
bn:00082447v	wn:01779165v
bn:00082448v	wn:00848420v
bn:00082449v	wn:00248512v
bn:00082450v	wn:00248026v
bn:00082451v	wn:00249679v
bn:00082452v	wn:00517365v
bn:00082453v	wn:01484714v
bn:00082454v	wn:01222016v
bn:00082455v	wn:01221684v
bn:00082456v	wn:01307771v
bn:00082457v	wn:00956405v
bn:00082458v	wn:00208210v
bn:00082459v	wn:01820901v
bn:00082460v	wn:02627555v
bn:00082461v	wn:01385170v
bn:00082462v	wn:01118449v
bn:00082463v	wn:02513879v
bn:00082464v	wn:01797582v
bn:00082465v	wn:01089878v
bn:00082466v	wn:02585050v
bn:00082467v	wn:01762528v
bn:00082468v	wn:02589576v
bn:00082469v	wn:01893988v
bn:00082470v	wn:01889610v
bn:00082471v	wn:01419473v
bn:00082472v	wn:00728617v
bn:00082473v	wn:01794523v
bn:00082474v	wn:01794363v
bn:00082475v	wn:00805376v
bn:00082476v	wn:00764222v
bn:00082477v	wn:02657219v
bn:00082478v	wn:02741793v
bn:00082479v	wn:02291135v
bn:00082480v	wn:01035530v
bn:00082481v	wn:02547586v
bn:00082482v	wn:00082081v
bn:00082483v	wn:00078665v
bn:00082484v	wn:00070816v
bn:00082485v	wn:01151110v
bn:00082486v	wn:00708980v
bn:00082487v	wn:01026975v
bn:00082488v	wn:00713015v
bn:00082489v	wn:01150559v
bn:00082490v	wn:00955472v
bn:00082491v	wn:00705517v
bn:00082492v	wn:00973728v
bn:00082493v	wn:00973056v
bn:00082494v	wn:00954608v
bn:00082495v	wn:00489029v
bn:00082496v	wn:00488770v
bn:00082497v	wn:02331575v
bn:00082498v	wn:02331326v
bn:00082499v	wn:01489859v
bn:00082500v	wn:01951159v
bn:00082501v	wn:00214794v
bn:00082502v	wn:01363320v
bn:00082503v	wn:01452057v
bn:00082504v	wn:01032127v
bn:00082505v	wn:01953334v
bn:00082506v	wn:01782650v
bn:00082507v	wn:00872414v
bn:00082508v	wn:00139586v
bn:00082509v	wn:00139908v
bn:00082510v	wn:00139729v
bn:00082511v	wn:01176734v
bn:00082512v	wn:00893741v
bn:00082513v	wn:02221010v
bn:00082514v	wn:01823528v
bn:00082515v	wn:01823888v
bn:00082516v	wn:01978700v
bn:00082517v	wn:01978576v
bn:00082518v	wn:02658867v
bn:00082519v	wn:00733632v
bn:00082520v	wn:00466053v
bn:00082521v	wn:01204191v
bn:00082522v	wn:00265094v
bn:00082523v	wn:00134898v
bn:00082524v	wn:00134737v
bn:00082525v	wn:01815185v
bn:00082526v	wn:01204021v
bn:00082527v	wn:01016002v
bn:00082528v	wn:00624263v
bn:00082529v	wn:00135285v
bn:00082530v	wn:00064095v
bn:00082531v	wn:00518395v
bn:00082532v	wn:00337700v
bn:00082533v	wn:01702154v
bn:00082534v	wn:02234087v
bn:00082535v	wn:02228698v
bn:00082536v	wn:02423183v
bn:00082537v	wn:00802318v
bn:00082538v	wn:02255462v
bn:00082539v	wn:00724150v
bn:00082540v	wn:02721438v
bn:00082541v	wn:00723545v
bn:00082542v	wn:02423650v
bn:00082543v	wn:02319669v
bn:00082544v	wn:00802946v
bn:00082545v	wn:02255821v
bn:00082546v	wn:00493517v
bn:00082547v	wn:00396880v
bn:00082548v	wn:00793785v
bn:00082549v	wn:02430191v
bn:00082550v	wn:02434737v
bn:00082551v	wn:00279239v
bn:00082552v	wn:02330967v
bn:00082553v	wn:00126264v
bn:00082554v	wn:00123170v
bn:00082555v	wn:01667132v
bn:00082556v	wn:00201407v
bn:00082557v	wn:00060477v
bn:00082558v	wn:00775156v
bn:00082559v	wn:00121506v
bn:00082560v	wn:02393726v
bn:00082561v	wn:00604930v
bn:00082562v	wn:00121678v
bn:00082563v	wn:00121214v
bn:00082564v	wn:01338113v
bn:00082565v	wn:01462005v
bn:00082566v	wn:00724832v
bn:00082567v	wn:00622384v
bn:00082568v	wn:01826060v
bn:00082569v	wn:01918183v
bn:00082570v	wn:01911698v
bn:00082571v	wn:01138204v
bn:00082572v	wn:01142203v
bn:00082573v	wn:00205885v
bn:00082574v	wn:00205046v
bn:00082575v	wn:00996328v
bn:00082576v	wn:00199912v
bn:00082577v	wn:02500265v
bn:00082578v	wn:02498987v
bn:00082579v	wn:00410406v
bn:00082580v	wn:00409643v
bn:00082581v	wn:00187147v
bn:00082582v	wn:00497219v
bn:00082583v	wn:00905677v
bn:00082584v	wn:02352263v
bn:00082585v	wn:02664992v
bn:00082586v	wn:00434077v
bn:00082587v	wn:00839834v
bn:00082588v	wn:00264386v
bn:00082589v	wn:00263904v
bn:00082590v	wn:01254692v
bn:00082591v	wn:02492362v
bn:00082592v	wn:00859758v
bn:00082593v	wn:00021065v
bn:00082594v	wn:00625518v
bn:00082595v	wn:00653283v
bn:00082596v	wn:00644583v
bn:00082597v	wn:00736216v
bn:00082598v	wn:00643473v
bn:00082599v	wn:00643197v
bn:00082600v	wn:01292366v
bn:00082601v	wn:01292169v
bn:00082602v	wn:00865958v
bn:00082603v	wn:01550594v
bn:00082604v	wn:00645241v
bn:00082605v	wn:01304944v
bn:00082606v	wn:01304716v
bn:00082607v	wn:00096396v
bn:00082608v	wn:00096264v
bn:00082609v	wn:00085626v
bn:00082610v	wn:01785971v
bn:00082611v	wn:01787106v
bn:00082612v	wn:02044866v
bn:00082613v	wn:02038357v
bn:00082614v	wn:01319346v
bn:00082615v	wn:01141612v
bn:00082616v	wn:00680485v
bn:00082617v	wn:01934731v
bn:00082618v	wn:00300317v
bn:00082619v	wn:01794969v
bn:00082620v	wn:01792567v
bn:00082621v	wn:00573457v
bn:00082622v	wn:01027668v
bn:00082623v	wn:00827158v
bn:00082624v	wn:01680756v
bn:00082625v	wn:00114052v
bn:00082626v	wn:00113853v
bn:00082627v	wn:01812720v
bn:00082628v	wn:00547995v
bn:00082629v	wn:00192836v
bn:00082630v	wn:00024279v
bn:00082631v	wn:00303056v
bn:00082632v	wn:02215355v
bn:00082633v	wn:01329141v
bn:00082634v	wn:00470701v
bn:00082635v	wn:01704953v
bn:00082636v	wn:00961329v
bn:00082637v	wn:00974367v
bn:00082638v	wn:00965871v
bn:00082639v	wn:00975427v
bn:00082640v	wn:00974173v
bn:00082641v	wn:01787955v
bn:00082642v	wn:02478059v
bn:00082643v	wn:00799798v
bn:00082644v	wn:00136567v
bn:00082645v	wn:00675412v
bn:00082646v	wn:00815686v
bn:00082647v	wn:00719590v
bn:00082648v	wn:00636279v
bn:00082649v	wn:00635523v
bn:00082650v	wn:00815171v
bn:00082651v	wn:02746017v
bn:00082652v	wn:02669789v
bn:00082653v	wn:02658570v
bn:00082654v	wn:01183896v
bn:00082655v	wn:00718308v
bn:00082656v	wn:02564841v
bn:00082657v	wn:01807314v
bn:00082658v	wn:01139380v
bn:00082659v	wn:02252931v
bn:00082660v	wn:02712443v
bn:00082661v	wn:00277086v
bn:00082662v	wn:01626705v
bn:00082663v	wn:00727409v
bn:00082664v	wn:00105778v
bn:00082665v	wn:00719734v
bn:00082666v	wn:02565491v
bn:00082667v	wn:00720808v
bn:00082668v	wn:00917772v
bn:00082669v	wn:01804961v
bn:00082670v	wn:00342640v
bn:00082671v	wn:00253664v
bn:00082672v	wn:00253501v
bn:00082673v	wn:02326795v
bn:00082674v	wn:00062774v
bn:00082675v	wn:02675067v
bn:00082676v	wn:00849592v
bn:00082677v	wn:00741911v
bn:00082678v	wn:00894738v
bn:00082679v	wn:00892923v
bn:00082680v	wn:00757856v
bn:00082681v	wn:00993754v
bn:00082682v	wn:00693633v
bn:00082683v	wn:01810447v
bn:00082684v	wn:00047945v
bn:00082685v	wn:02497586v
bn:00082686v	wn:00755447v
bn:00082687v	wn:01807882v
bn:00082688v	wn:02497824v
bn:00082689v	wn:01024864v
bn:00082690v	wn:02133435v
bn:00082691v	wn:00422090v
bn:00082692v	wn:00425967v
bn:00082693v	wn:02134672v
bn:00082694v	wn:00425071v
bn:00082695v	wn:01721169v
bn:00082696v	wn:02597762v
bn:00082697v	wn:01765392v
bn:00082698v	wn:01194114v
bn:00082699v	wn:00765213v
bn:00082700v	wn:01328513v
bn:00082701v	wn:02107097v
bn:00082702v	wn:02653706v
bn:00082703v	wn:00860292v
bn:00082704v	wn:01670777v
bn:00082705v	wn:01158872v
bn:00082706v	wn:02676789v
bn:00082707v	wn:00765396v
bn:00082708v	wn:01363648v
bn:00082709v	wn:02707429v
bn:00082710v	wn:02309165v
bn:00082711v	wn:02561332v
bn:00082712v	wn:02560164v
bn:00082713v	wn:01026558v
bn:00082714v	wn:02595523v
bn:00082715v	wn:02396205v
bn:00082716v	wn:02475922v
bn:00082717v	wn:02341370v
bn:00082718v	wn:02294179v
bn:00082719v	wn:01500214v
bn:00082720v	wn:00681429v
bn:00082721v	wn:00646542v
bn:00082722v	wn:01805982v
bn:00082723v	wn:00592341v
bn:00082724v	wn:02256109v
bn:00082725v	wn:00316195v
bn:00082726v	wn:00315605v
bn:00082727v	wn:00588221v
bn:00082728v	wn:01215137v
bn:00082729v	wn:01782432v
bn:00082730v	wn:00602635v
bn:00082731v	wn:00831074v
bn:00082732v	wn:02053941v
bn:00082733v	wn:02703952v
bn:00082734v	wn:02439281v
bn:00082735v	wn:01849746v
bn:00082736v	wn:00990392v
bn:00082737v	wn:00803815v
bn:00082738v	wn:00687033v
bn:00082739v	wn:02272549v
bn:00082740v	wn:00806502v
bn:00082741v	wn:00673983v
bn:00082742v	wn:02666060v
bn:00082743v	wn:00672433v
bn:00082744v	wn:01956512v
bn:00082745v	wn:01942854v
bn:00082746v	wn:01750668v
bn:00082747v	wn:02260959v
bn:00082748v	wn:00760956v
bn:00082749v	wn:00329495v
bn:00082750v	wn:02034986v
bn:00082751v	wn:02035315v
bn:00082752v	wn:00522068v
bn:00082753v	wn:01384638v
bn:00082754v	wn:00772189v
bn:00082755v	wn:00773432v
bn:00082756v	wn:00772640v
bn:00082757v	wn:02624263v
bn:00082758v	wn:02625786v
bn:00082759v	wn:01983264v
bn:00082760v	wn:00339738v
bn:00082761v	wn:01968569v
bn:00082762v	wn:02583139v
bn:00082763v	wn:00018158v
bn:00082764v	wn:01087197v
bn:00082765v	wn:02334867v
bn:00082766v	wn:02341684v
bn:00082767v	wn:02126382v
bn:00082768v	wn:01759326v
bn:00082769v	wn:00018526v
bn:00082770v	wn:01629958v
bn:00082771v	wn:00022686v
bn:00082772v	wn:00018813v
bn:00082773v	wn:01894164v
bn:00082774v	wn:01762283v
bn:00082775v	wn:02497992v
bn:00082776v	wn:00843852v
bn:00082777v	wn:01463963v
bn:00082778v	wn:01021629v
bn:00082779v	wn:01648126v
bn:00082780v	wn:01745141v
bn:00082781v	wn:00038849v
bn:00082782v	wn:01706129v
bn:00082783v	wn:00735571v
bn:00082784v	wn:01474209v
bn:00082785v	wn:01131473v
bn:00082786v	wn:01505958v
bn:00082787v	wn:01859586v
bn:00082788v	wn:02005948v
bn:00082789v	wn:02585860v
bn:00082790v	wn:02020590v
bn:00082791v	wn:02275365v
bn:00082792v	wn:02276746v
bn:00082793v	wn:02274482v
bn:00082794v	wn:02639606v
bn:00082795v	wn:00854150v
bn:00082796v	wn:00120095v
bn:00082797v	wn:00885082v
bn:00082798v	wn:02354287v
bn:00082799v	wn:00980453v
bn:00082800v	wn:00978549v
bn:00082801v	wn:02622637v
bn:00082802v	wn:00978369v
bn:00082803v	wn:01969216v
bn:00082804v	wn:02751451v
bn:00082805v	wn:02381571v
bn:00082806v	wn:02105657v
bn:00082807v	wn:02103021v
bn:00082808v	wn:02037472v
bn:00082809v	wn:01970348v
bn:00082810v	wn:01969779v
bn:00082811v	wn:00918872v
bn:00082812v	wn:00662589v
bn:00082813v	wn:00920336v
bn:00082814v	wn:00721302v
bn:00082815v	wn:00726300v
bn:00082816v	wn:00383437v
bn:00082817v	wn:00784342v
bn:00082818v	wn:00752493v
bn:00082819v	wn:00784727v
bn:00082820v	wn:00755745v
bn:00082821v	wn:00897746v
bn:00082822v	wn:02627934v
bn:00082823v	wn:01068565v
bn:00082824v	wn:01760143v
bn:00082825v	wn:00351048v
bn:00082826v	wn:01469770v
bn:00082827v	wn:02486693v
bn:00082828v	wn:02384686v
bn:00082829v	wn:00846509v
bn:00082830v	wn:01267866v
bn:00082831v	wn:01569181v
bn:00082832v	wn:01476180v
bn:00082833v	wn:00359511v
bn:00082834v	wn:01540693v
bn:00082835v	wn:00952039v
bn:00082836v	wn:00003316v
bn:00082837v	wn:01120069v
bn:00082838v	wn:01119169v
bn:00082839v	wn:00862683v
bn:00082840v	wn:02483000v
bn:00082841v	wn:00847158v
bn:00082842v	wn:02567519v
bn:00082843v	wn:00694974v
bn:00082844v	wn:02530167v
bn:00082845v	wn:01656788v
bn:00082846v	wn:02428924v
bn:00082847v	wn:02598143v
bn:00082848v	wn:01016778v
bn:00082849v	wn:02373785v
bn:00082850v	wn:00717045v
bn:00082851v	wn:02519055v
bn:00082852v	wn:02308552v
bn:00082853v	wn:02308389v
bn:00082854v	wn:00682230v
bn:00082855v	wn:01054027v
bn:00082856v	wn:00547022v
bn:00082857v	wn:02391803v
bn:00082858v	wn:00677683v
bn:00082859v	wn:01160370v
bn:00082860v	wn:02228531v
bn:00082861v	wn:00740053v
bn:00082862v	wn:00159642v
bn:00082863v	wn:00160261v
bn:00082864v	wn:01540042v
bn:00082865v	wn:00160447v
bn:00082866v	wn:02414710v
bn:00082867v	wn:02540670v
bn:00082868v	wn:00713167v
bn:00082869v	wn:02470175v
bn:00082870v	wn:02750642v
bn:00082871v	wn:00654625v
bn:00082872v	wn:00632236v
bn:00082873v	wn:01982395v
bn:00082874v	wn:01721754v
bn:00082875v	wn:01470856v
bn:00082876v	wn:00050652v
bn:00082877v	wn:00890590v
bn:00082878v	wn:01019643v
bn:00082879v	wn:00776268v
bn:00082880v	wn:01766407v
bn:00082881v	wn:00884011v
bn:00082882v	wn:00510869v
bn:00082883v	wn:01388386v
bn:00082884v	wn:00304662v
bn:00082885v	wn:01933766v
bn:00082886v	wn:01841947v
bn:00082887v	wn:01132980v
bn:00082888v	wn:01373138v
bn:00082889v	wn:01133288v
bn:00082890v	wn:00330144v
bn:00082891v	wn:01796800v
bn:00082892v	wn:00093979v
bn:00082893v	wn:01296462v
bn:00082894v	wn:01290255v
bn:00082895v	wn:01290422v
bn:00082896v	wn:02538086v
bn:00082897v	wn:02273293v
bn:00082898v	wn:02705535v
bn:00082899v	wn:00347610v
bn:00082900v	wn:00019792v
bn:00082901v	wn:02006834v
bn:00082902v	wn:02286687v
bn:00082903v	wn:02547225v
bn:00082904v	wn:02149501v
bn:00082905v	wn:00170381v
bn:00082906v	wn:01651293v
bn:00082907v	wn:02612762v
bn:00082908v	wn:02549581v
bn:00082909v	wn:02716567v
bn:00082910v	wn:00616670v
bn:00082911v	wn:00226379v
bn:00082912v	wn:00220701v
bn:00082913v	wn:00820976v
bn:00082914v	wn:00820352v
bn:00082915v	wn:01014821v
bn:00082916v	wn:00820611v
bn:00082917v	wn:00044149v
bn:00082918v	wn:02519494v
bn:00082919v	wn:00593200v
bn:00082920v	wn:01505254v
bn:00082921v	wn:01350025v
bn:00082922v	wn:00297780v
bn:00082923v	wn:02244773v
bn:00082924v	wn:00697062v
bn:00082925v	wn:00600235v
bn:00082926v	wn:01718535v
bn:00082927v	wn:00154388v
bn:00082928v	wn:00157950v
bn:00082929v	wn:00871942v
bn:00082930v	wn:00918471v
bn:00082931v	wn:00382410v
bn:00082932v	wn:00285231v
bn:00082933v	wn:02150192v
bn:00082934v	wn:00347420v
bn:00082935v	wn:00664276v
bn:00082936v	wn:01704452v
bn:00082937v	wn:02473981v
bn:00082938v	wn:00803325v
bn:00082939v	wn:00062973v
bn:00082940v	wn:00997133v
bn:00082941v	wn:00479932v
bn:00082942v	wn:00480221v
bn:00082943v	wn:01930738v
bn:00082944v	wn:02150039v
bn:00082945v	wn:01513990v
bn:00082946v	wn:01161561v
bn:00082947v	wn:02549048v
bn:00082948v	wn:01193569v
bn:00082949v	wn:01966706v
bn:00082950v	wn:01153486v
bn:00082951v	wn:02645389v
bn:00082952v	wn:02527294v
bn:00082953v	wn:00639998v
bn:00082954v	wn:02453321v
bn:00082955v	wn:02034511v
bn:00082956v	wn:00124074v
bn:00082957v	wn:01941093v
bn:00082958v	wn:00811375v
bn:00082959v	wn:02463510v
bn:00082960v	wn:01189823v
bn:00082961v	wn:00819923v
bn:00082962v	wn:02032117v
bn:00082963v	wn:00720063v
bn:00082964v	wn:00736095v
bn:00082965v	wn:02261888v
bn:00082966v	wn:02262278v
bn:00082967v	wn:01779644v
bn:00082968v	wn:01257953v
bn:00082969v	wn:00354317v
bn:00082970v	wn:00284958v
bn:00082971v	wn:01048330v
bn:00082972v	wn:01272349v
bn:00082973v	wn:01065630v
bn:00082974v	wn:01037650v
bn:00082975v	wn:02187922v
bn:00082976v	wn:00937208v
bn:00082977v	wn:02570267v
bn:00082978v	wn:02602898v
bn:00082979v	wn:02456270v
bn:00082980v	wn:02616118v
bn:00082981v	wn:02453889v
bn:00082982v	wn:01997119v
bn:00082983v	wn:02556817v
